brand,name,old_price,new_price,ml,concentration,item_rating,seller,seller_rating,num_seller_ratings
Parfums De Marly,Safand EDP 75ml,588.00,508.50,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Amazing Creation,Cairo Perfume Eau De Parfum 100ml,"AED, ,116.00","AED, ,104.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
Al Zaabiah,Mukhallat Asayel Parfum 10g,"AED, ,130.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Al Zaabiah,Mukhallat Lamia Parfum 10g,"AED, ,155.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Al Zaabiah,Beibei Bear Parfum 50ml 50ml,27.00,,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Al Zaabiah,Rascal Rabbit Blue Parfum 50ml,27.00,,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Parfums De Marly,Layton Exclusif EDP 75ml,"AED, ,633.95, ",,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Niya,Hawaiian Musk EDP 100ml,99.00,45.00,wrangle from name,wrangle from name,,noon,4,48.9K
Roberto Cavalli,Florence EDP 75ml,"AED, ,399.00","AED, ,127.85, ",wrangle from name,wrangle from name,,noon,4,7.7K
Roberto Cavalli,Paradiso EDP 50ml,"AED, ,185.00","AED, ,75.05, ",wrangle from name,wrangle from name,,noon,4,7.7K
Dolce & Gabbana,The One EDP 100ml,"AED, ,475.00","AED, ,206.65, ",wrangle from name,wrangle from name,,noon,4,7.7K
Mancera,Red Tobacco EDP 120ml,600.00,315.00,wrangle from name,wrangle from name,,noon,4,48.9K
MONTBLANC,Explorer EDP 100ml,406.00,160.65,wrangle from name,wrangle from name,,noon,4,7.7K
Roberto Cavalli,Nero Assoluto EDP 75ml,"AED, ,484.80","AED, ,99.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
Calvin Klein,Beauty EDP 100ml,"AED, ,180.00","AED, ,75.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
Roberto Cavalli,Paradiso Azzurro EDP 75ml,"AED, ,183.90","AED, ,100.00, ",wrangle from name,wrangle from name,,noon,4,48.9K
VERSACE,Dylan Blue EDP 100ml,503.00,211.95,wrangle from name,wrangle from name,,noon,4,7.7K
BURBERRY,Burberry Body EDP 85ml,530.00,137.65,wrangle from name,wrangle from name,,noon,4,7.7K
Niya,Prive Leather Oud 100ml,198.00,99.00,wrangle from name,wrangle from name,,noon,4,48.9K
Alexandre J,Morning Muscs EDP 100ml,465.00,155.00,wrangle from name,wrangle from name,,noon,4,48.9K
Calvin Klein,Euphoria EDP 100ml,378.00,123.90,wrangle from name,wrangle from name,,noon,4,7.7K
Yves Saint Laurent,Libre EDP 90ml,"AED, ,597.73","AED, ,427.30, ",wrangle from name,wrangle from name,,noon,4,7.7K
Rasasi,Crocodile Pour Elle EDP 50ml,120.00,88.70,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Givenchy,L'Interdit EDP 50ml,"AED, ,436.00","AED, ,204.30, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
armani,Stronger With You Intensely EDP 100ml,750.00,333.55,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
cacharel,Eden EDP 50ml,242.00,185.35,wrangle from name,wrangle from name,,noon,4,7.7K
LACOSTE,Lacoste EDP 90ml,357.00,112.35,wrangle from name,wrangle from name,,noon,4,48.9K
Lattafa,Velvet Oud EDP 100ml,"AED, ,77.28","AED, ,42.90, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Givenchy,Organza EDP 100ml,"AED, ,550.00","AED, ,204.20, ",wrangle from name,wrangle from name,,noon,4,7.7K
jennifer lopez,Still EDP 100ml,100.00,82.50,wrangle from name,wrangle from name,,branded perfume,3.3,394
PRADA,Candy EDP 80ml,"AED, ,412.00","AED, ,207.15, ",wrangle from name,wrangle from name,,noon,4,48.9K
Rasasi,Daarej Pour Homme EDP 100ml,"AED, ,88.00","AED, ,55.50, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Niya,Prive Maison Sandalwood EDP 100ml,198.00,99.00,wrangle from name,wrangle from name,,noon,4,48.9K
BOUCHERON,Santal De Kandy EDP For Unisex 125ml,"AED, ,600.00","AED, ,407.90, ",wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
Yves Saint Laurent,Black Opium EDP 90ml,580.00,349.50,wrangle from name,wrangle from name,,noon,4,7.7K
GUCCI,Flora EDP 75ml,372.24,215.00,wrangle from name,wrangle from name,,Al Aflah Trading LLC,1.7,46
NASAMAT,Oud Bouquet EDP 100ml,910.35,346.00,wrangle from name,wrangle from name,,noon,4,48.9K
CHANEL,Coco Mademoiselle EDP 35ml,"AED, ,534.00","AED, ,335.40, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
GUESS,Marciano EDP 100ml,133.56,62.65,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Le Classique,Pour Fantaise EDP 100ml,48.00,23.35,wrangle from name,wrangle from name,,noon,4,7.7K
